x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time2
46000,14400,20,59,22,1,1.1875,73.33
46000,14400,20,48,36,0,1.3461538461538465,138.55
46000,14400,80,21,20,1,1.0666666666666669,4.25
23200,18000,50,43,32,0,1.75,8.38
46000,14400,50,40,18,0,1.1111111111111112,14.25
7200,24000,20,42,22,1,2.0,27.2
10000,10000,80,16,16,1,1.0,1.53
30000,12000,20,40,28,1,3.533333333333333,51.28
30000,12000,80,27,28,0,1.0,3.14
23200,18000,20,42,26,1,2.095238095238096,58.63
10000,10000,50,35,16,0,2.4,3.6
30000,12000,50,45,16,0,1.3333333333333333,8.4
10000,10000,20,37,22,0,1.6923076923076923,31.05
7200,24000,50,24,34,0,1.0,5.96
23200,18000,20,42,28,0,1.9523809523809523,101.54
10000,10000,50,24,30,1,2.2,2.48
30000,12000,20,13,34,1,1.6285714285714286,138.77
7200,24000,50,25,24,0,3.0,6.04
7200,24000,50,31,18,0,2.2857142857142856,5.34
23200,18000,100,14,30,1,1.2222222222222223,1.95
7200,24000,50,39,24,1,2.0,2.9
7200,24000,20,40,22,0,1.0476190476190477,47.19
23200,18000,20,47,34,1,1.7894736842105263,45.65
46000,14400,50,30,16,0,1.6666666666666667,23.47
7200,24000,80,22,24,1,1.1666666666666667,1.58
23200,18000,50,38,16,1,2.1818181818181817,7.46
10000,10000,50,16,30,0,3.2,5.11
23200,18000,20,35,20,1,1.4375,77.84
7200,24000,20,53,20,0,3.272727272727273,39.23
46000,14400,20,26,30,1,3.6666666666666665,135.08
7200,24000,20,35,24,1,1.25,29.97
7200,24000,80,54,16,1,1.0,2.22
30000,12000,20,35,16,0,3.571428571428572,138.01
10000,10000,20,21,24,1,1.5882352941176472,28.74
46000,14400,80,22,14,0,1.25,7.89
7200,24000,20,32,18,1,2.8125,38.61
7200,24000,50,39,22,0,1.5714285714285714,4.25
10000,10000,20,18,28,1,2.6923076923076925,30.78
7200,24000,20,14,24,0,2.8571428571428568,124.08
