x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration
10000,10000,20,500,500,13,30,390,50,12,10,39,4.166666666666667,1,1,69.13200921760124
10000,10000,20,500,500,13,32,416,31,19,16,26,1.631578947368421,0,1,92.58751234500167
10000,10000,20,500,500,13,32,416,31,19,16,26,1.631578947368421,1,1,64.81125864150117
10000,10000,20,500,500,13,32,416,38,15,13,32,2.533333333333333,0,1,92.58751234500167
10000,10000,20,500,500,13,32,416,38,15,13,32,2.533333333333333,1,1,64.81125864150117
10000,10000,20,500,500,13,34,442,29,19,17,26,1.5263157894736843,0,1,87.14118808941332
10000,10000,20,500,500,13,34,442,29,19,17,26,1.5263157894736843,1,1,60.99883166258932
10000,10000,20,500,500,13,34,442,38,14,13,34,2.7142857142857144,0,1,87.14118808941332
10000,10000,20,500,500,13,34,442,38,14,13,34,2.7142857142857144,1,1,60.99883166258932
10000,10000,20,500,500,13,36,468,27,19,18,26,1.4210526315789473,0,1,82.30001097333482
10000,10000,20,500,500,13,36,468,27,19,18,26,1.4210526315789473,1,1,57.61000768133437
10000,10000,20,500,500,13,36,468,38,13,13,36,2.923076923076923,0,1,82.30001097333482
10000,10000,20,500,500,13,36,468,38,13,13,36,2.923076923076923,1,1,57.61000768133437
10000,10000,20,500,500,13,36,468,41,12,12,39,3.4166666666666665,0,1,82.30001097333482
10000,10000,20,500,500,13,36,468,41,12,12,39,3.4166666666666665,1,1,57.61000768133437
10000,10000,20,500,500,14,14,196,35,35,14,14,1.0,0,1,196.51227109959535
10000,10000,20,500,500,14,14,196,35,35,14,14,1.0,1,1,137.55858976971675
10000,10000,20,500,500,14,14,196,71,17,7,28,4.176470588235294,0,1,196.51227109959535
10000,10000,20,500,500,14,14,196,71,17,7,28,4.176470588235294,1,1,137.55858976971675
10000,10000,20,500,500,14,16,224,35,31,14,16,1.1290322580645162,0,1,171.94823721214595
10000,10000,20,500,500,14,16,224,35,31,14,16,1.1290322580645162,1,1,120.36376604850216
10000,10000,20,500,500,14,16,224,62,17,8,28,3.6470588235294117,0,1,171.94823721214595
10000,10000,20,500,500,14,16,224,62,17,8,28,3.6470588235294117,1,1,120.36376604850216
10000,10000,20,500,500,14,16,224,71,15,7,32,4.733333333333333,0,1,171.94823721214595
10000,10000,20,500,500,14,16,224,71,15,7,32,4.733333333333333,1,1,120.36376604850216
10000,10000,20,500,500,14,18,252,35,27,14,18,1.2962962962962963,0,1,152.8428775219075
10000,10000,20,500,500,14,18,252,35,27,14,18,1.2962962962962963,1,1,106.99001426533525
